time,bid,bidSize,ask,askSize,buyMO,sellMO,buySellImb,orderImb
1900-01-01 13:39:30,7967.0,203605,7967.5,538068,152781,152502,279,-334463
1900-01-01 13:39:45,7966.5,2710,7967.0,1625093,10228,51667,-41439,-1622383
1900-01-01 13:40:00,7964.0,626559,7964.5,45680,31108,17108,14000,580879
1900-01-01 13:40:15,7964.0,520003,7964.5,35540,64572,56700,7872,484463
1900-01-01 13:40:30,7964.0,683903,7964.5,3815,34201,64082,-29881,680088
1900-01-01 13:40:45,7966.5,731613,7967.0,132245,8205,47096,-38891,599368
1900-01-01 13:41:00,7967.5,886650,7968.0,50596,166470,20400,146070,836054
1900-01-01 13:41:15,7968.0,499791,7968.5,379856,476643,29686,446957,119935
1900-01-01 13:41:30,7968.0,497394,7968.5,403180,284798,66118,218680,94214
1900-01-01 13:41:45,7966.5,5927,7967.0,935053,3026,50788,-47762,-929126
1900-01-01 13:42:00,7959.5,5391,7960.0,102729,18320,290947,-272627,-97338
1900-01-01 13:42:15,7955.0,311517,7955.5,799335,4730,1241693,-1236963,-487818
1900-01-01 13:42:30,7941.0,145251,7941.5,510969,23859,1048088,-1024229,-365718
1900-01-01 13:42:45,7949.5,646782,7950.0,118376,337412,197185,140227,528406
1900-01-01 13:43:00,7951.0,199588,7951.5,714,71022,181504,-110482,198874
1900-01-01 13:43:15,7953.5,1649,7954.5,707261,208689,90308,118381,-705612
1900-01-01 13:43:30,7935.0,56939,7935.5,1000,340804,437361,-96557,55939
1900-01-01 13:43:45,7940.5,73759,7941.0,40850,179887,731158,-551271,32909
1900-01-01 13:44:00,7932.0,13612,7932.5,437217,95744,119060,-23316,-423605
1900-01-01 13:44:15,7936.5,45061,7937.0,91360,85425,313604,-228179,-46299
1900-01-01 13:44:30,7931.5,354303,7932.0,186432,147940,63652,84288,167871
1900-01-01 13:44:45,7942.5,12190,7943.0,812603,255783,158834,96949,-800413
1900-01-01 13:45:00,7938.0,165284,7938.5,162,237189,63196,173993,165122
1900-01-01 13:45:15,7938.5,20419,7939.0,474192,157653,109871,47782,-453773
1900-01-01 13:45:30,7938.5,498252,7939.0,58249,34057,2160,31897,440003
1900-01-01 13:45:45,7937.0,69568,7937.5,1118778,47950,32166,15784,-1049210
1900-01-01 13:46:00,7933.5,11203,7934.0,935302,34320,187777,-153457,-924099
1900-01-01 13:46:15,7931.5,5572,7932.0,1050109,23856,182788,-158932,-1044537
1900-01-01 13:46:30,7935.0,590661,7935.5,136282,227513,191597,35916,454379
1900-01-01 13:46:45,7929.0,106887,7929.5,503391,56360,411302,-354942,-396504
1900-01-01 13:47:00,7929.0,333909,7929.5,960971,5210,78745,-73535,-627062
1900-01-01 13:47:15,7929.0,146055,7929.5,1263147,18290,295456,-277166,-1117092
1900-01-01 13:47:30,7927.5,18015,7928.0,940524,23400,127962,-104562,-922509
1900-01-01 13:47:45,7929.0,14728,7929.5,1032781,451982,68328,383654,-1018053
1900-01-01 13:48:00,7888.0,129650,7919.5,122286,157713,442332,-284619,7364
1900-01-01 13:48:15,7907.0,555570,7907.5,120113,1049486,2305963,-1256477,435457
1900-01-01 13:48:30,7906.5,182177,7907.0,437599,1586790,407747,1179043,-255422
1900-01-01 13:48:45,7899.5,691987,7900.0,84262,825325,395078,430247,607725
1900-01-01 13:49:00,7890.0,37459,7890.5,101798,1728707,433144,1295563,-64339
1900-01-01 13:49:15,7899.0,177335,7899.5,41600,167746,221786,-54040,135735
1900-01-01 13:49:30,7921.5,180706,7922.5,1633,1198155,116588,1081567,179073
1900-01-01 13:49:45,7918.0,172312,7918.5,674535,474122,367433,106689,-502223
1900-01-01 13:50:00,7922.0,202393,7922.5,397644,189318,59320,129998,-195251
1900-01-01 13:50:15,7923.5,1058318,7924.0,52961,318649,347536,-28887,1005357
1900-01-01 13:50:30,7923.0,90813,7923.5,618146,365230,380341,-15111,-527333
1900-01-01 13:50:45,7923.0,162810,7923.5,649542,253272,114391,138881,-486732
1900-01-01 13:51:00,7923.0,506796,7923.5,157406,296697,366872,-70175,349390
1900-01-01 13:51:15,7922.0,291894,7922.5,790199,46530,461275,-414745,-498305
