time,bid,bidSize,ask,askSize,buyMO,sellMO,buySellImb,orderImb,spread
1900-01-25 22:01:45,8071.5,504068,8072.0,521332,43863,11123,32740,-17264,0.5
1900-01-25 22:02:00,8071.5,283208,8072.0,601010,26536,67695,-41159,-317802,0.5
1900-01-25 22:02:15,8070.5,3985,8071.0,910875,27981,94648,-66667,-906890,0.5
1900-01-25 22:02:30,8066.0,254656,8066.5,1105735,786,341050,-340264,-851079,0.5
1900-01-25 22:02:45,8066.0,71646,8066.5,1897642,1026,170682,-169656,-1825996,0.5
1900-01-25 22:03:00,8065.0,121716,8065.5,1203901,5436,98638,-93202,-1082185,0.5
1900-01-25 22:03:15,8051.0,283881,8051.5,124676,15894,750961,-735067,159205,0.5
1900-01-25 22:03:30,8050.0,180144,8050.5,910902,29087,432368,-403281,-730758,0.5
1900-01-25 22:03:45,8042.0,26330,8042.5,140430,148827,345769,-196942,-114100,0.5
1900-01-25 22:04:00,8052.5,642299,8053.0,554058,353048,403779,-50731,88241,0.5
1900-01-25 22:04:15,8052.5,558871,8053.0,587691,70519,17785,52734,-28820,0.5
1900-01-25 22:04:30,8052.5,357234,8053.0,763802,62104,4310,57794,-406568,0.5
1900-01-25 22:04:45,8052.5,553438,8053.0,855673,32209,20209,12000,-302235,0.5
1900-01-25 22:05:00,8052.5,582979,8053.0,321874,168566,9978,158588,261105,0.5
1900-01-25 22:05:15,8050.0,124911,8050.5,1288814,62102,208987,-146885,-1163903,0.5
1900-01-25 22:05:30,8046.0,26008,8046.5,631534,124453,115962,8491,-605526,0.5
1900-01-25 22:05:45,8045.0,6562,8045.5,553098,6883,92122,-85239,-546536,0.5
1900-01-25 22:06:00,8044.5,354521,8045.0,301923,34408,57208,-22800,52598,0.5
1900-01-25 22:06:15,8046.0,554532,8046.5,38835,54590,34659,19931,515697,0.5
1900-01-25 22:06:30,8050.0,199760,8050.5,235021,151770,4851,146919,-35261,0.5
1900-01-25 22:06:45,8051.5,289703,8052.0,30452,10151,23640,-13489,259251,0.5
1900-01-25 22:07:00,8056.0,245408,8056.5,470137,42913,23008,19905,-224729,0.5
1900-01-25 22:07:15,8056.0,286554,8056.5,28963,16454,100001,-83547,257591,0.5
1900-01-25 22:07:30,8056.0,246117,8056.5,288381,56538,1455,55083,-42264,0.5
1900-01-25 22:07:45,8057.5,322345,8058.0,262306,63245,8624,54621,60039,0.5
1900-01-25 22:08:00,8057.5,747031,8058.0,33554,76250,2173,74077,713477,0.5
1900-01-25 22:08:15,8059.5,515047,8060.0,19647,30656,252,30404,495400,0.5
1900-01-25 22:08:30,8061.0,365312,8061.5,304702,62718,15083,47635,60610,0.5
1900-01-25 22:08:45,8061.0,363433,8061.5,657543,32333,12518,19815,-294110,0.5
1900-01-25 22:09:00,8057.0,367681,8057.5,119994,61556,37907,23649,247687,0.5
1900-01-25 22:09:15,8056.0,5539,8056.5,576922,1187,34886,-33699,-571383,0.5
1900-01-25 22:09:30,8055.0,752653,8055.5,1093276,2470,389768,-387298,-340623,0.5
1900-01-25 22:09:45,8055.0,456200,8055.5,101405,4699,708933,-704234,354795,0.5
1900-01-25 22:10:00,8060.5,213432,8061.0,383221,84108,43671,40437,-169789,0.5
1900-01-25 22:10:15,8063.5,707663,8064.0,85539,27030,13855,13175,622124,0.5
1900-01-25 22:10:30,8068.0,112404,8068.5,930709,181986,69179,112807,-818305,0.5
1900-01-25 22:10:45,8068.0,196358,8068.5,747549,16932,13898,3034,-551191,0.5
1900-01-25 22:11:00,8068.0,480985,8068.5,197239,2395,10100,-7705,283746,0.5
1900-01-25 22:11:15,8069.5,292296,8070.0,472461,85871,319,85552,-180165,0.5
1900-01-25 22:11:30,8069.5,119400,8070.0,2025922,26302,45049,-18747,-1906522,0.5
1900-01-25 22:11:45,8068.0,143533,8068.5,626612,2744,104965,-102221,-483079,0.5
1900-01-25 22:12:00,8068.0,186624,8068.5,586262,22792,25850,-3058,-399638,0.5
1900-01-25 22:12:15,8068.0,493744,8068.5,168179,12466,7331,5135,325565,0.5
1900-01-25 22:12:30,8068.0,623972,8068.5,150756,42053,18844,23209,473216,0.5
1900-01-25 22:12:45,8068.5,629043,8069.0,16062,88558,23385,65173,612981,0.5
1900-01-25 22:13:00,8071.0,581111,8071.5,151916,218893,2100,216793,429195,0.5
1900-01-25 22:13:15,8071.5,989622,8072.0,109356,199711,4900,194811,880266,0.5
1900-01-25 22:13:30,8073.0,957919,8073.5,2268,105504,10000,95504,955651,0.5
1900-01-25 22:13:45,8074.5,81320,8075.0,499937,71406,20498,50908,-418617,0.5
1900-01-25 22:14:00,8071.0,24334,8071.5,451363,6846,62183,-55337,-427029,0.5
1900-01-25 22:14:15,8070.5,501275,8071.0,250282,3400,16826,-13426,250993,0.5
1900-01-25 22:14:30,8072.5,728932,8073.0,131,139777,7798,131979,728801,0.5
1900-01-25 22:14:45,8077.5,559855,8078.0,5457,15777,2001,13776,554398,0.5
1900-01-25 22:15:00,8078.0,789189,8078.5,71170,78779,1648,77131,718019,0.5
1900-01-25 22:15:15,8079.0,589713,8079.5,66296,31486,7347,24139,523417,0.5
1900-01-25 22:15:30,8081.5,535645,8082.0,112053,71625,6456,65169,423592,0.5
1900-01-25 22:15:45,8089.5,212163,8090.0,344900,595306,30443,564863,-132737,0.5
1900-01-25 22:16:00,8089.5,313585,8090.0,549725,97337,12693,84644,-236140,0.5
1900-01-25 22:16:15,8089.5,738638,8090.0,10106,113924,9030,104894,728532,0.5
1900-01-25 22:16:30,8094.5,750238,8095.0,70656,238081,6045,232036,679582,0.5
1900-01-25 22:16:45,8096.5,590703,8097.0,38647,162208,4235,157973,552056,0.5
1900-01-25 22:17:00,8096.5,650299,8097.0,141329,113787,3142,110645,508970,0.5
1900-01-25 22:17:15,8096.0,3178,8096.5,1105945,43817,69779,-25962,-1102767,0.5
1900-01-25 22:17:30,8095.0,160923,8095.5,670450,26118,67911,-41793,-509527,0.5
1900-01-25 22:17:45,8095.0,402902,8095.5,391858,72143,42949,29194,11044,0.5
1900-01-25 22:18:00,8095.0,706272,8095.5,384619,1486,103194,-101708,321653,0.5
1900-01-25 22:18:15,8095.0,951364,8095.5,364358,3701,70825,-67124,587006,0.5
1900-01-25 22:18:30,8095.0,1146816,8095.5,1334,115971,30508,85463,1145482,0.5
1900-01-25 22:18:45,8097.5,833565,8098.0,123468,191043,40300,150743,710097,0.5
1900-01-25 22:19:00,8097.5,1049472,8098.0,3047,114322,2339,111983,1046425,0.5
1900-01-25 22:19:15,8098.5,1131428,8099.0,55586,132654,19845,112809,1075842,0.5
1900-01-25 22:19:30,8099.5,744708,8100.0,485510,83635,1728,81907,259198,0.5
1900-01-25 22:19:45,8099.5,1049456,8100.0,562918,191498,2773,188725,486538,0.5
1900-01-25 22:20:00,8099.5,1977474,8100.0,674946,17341,18495,-1154,1302528,0.5
1900-01-25 22:20:15,8099.5,2001294,8100.0,130751,448280,3847,444433,1870543,0.5
1900-01-25 22:20:30,8100.0,1036413,8100.5,163847,39134,1430,37704,872566,0.5
1900-01-25 22:20:45,8100.5,1097069,8101.0,136568,137716,2121,135595,960501,0.5
1900-01-25 22:21:00,8106.5,596695,8107.0,66577,347405,1502,345903,530118,0.5
1900-01-25 22:21:15,8107.0,623539,8107.5,363342,61511,7041,54470,260197,0.5
1900-01-25 22:21:30,8107.0,1048128,8107.5,13855,140750,2625,138125,1034273,0.5
1900-01-25 22:21:45,8108.0,1417963,8108.5,562344,18925,9332,9593,855619,0.5
1900-01-25 22:22:00,8108.0,1167028,8108.5,623349,34914,118366,-83452,543679,0.5
